id	turn1	turn2	turn3	label
52	okay  	hello ! how are you ?  ! ?	good n u  	happy
53	no . l human  . 	are you sure ?  ?	yeah  	others
54	talking to me ?  ?	but i didnt help  	does that work ?  ?	others
55	fight  	i dont fight .  .	what are you doing  	others
56	i think there is a connection of heart between us  	definitely .  .	 	happy
57	i know you are wild pig  	ll in some areas  	yes piggy  	others
58	no i didnt  	you watched my story though  	i did not  	sad
59	i dont want to go to college  	do we go back monday ?  ?	we have an event tomorrow  	happy
60	m just keeping u busy  	work work work  	i dont have rather than study  	sad
61	ok  	u are ok  	send me your pic  	sad
62	ok  	ok im back   !! 	what time will you back  	others
63	ok  	u are ok ay   ~~ ~~	ant u sleep at night  	sad
64	my mummy is your grandma  	hey soul sister on repeat : )  <3 : )	why bc  	happy
65	i said how  	you said wrong  	show  	happy
66	nag buddy  	im here for you  	oh thank you very much buddy  	happy
67	what is DPAC   ?? 	a b . a . . .	oh ply stop this   .. 	others
68	my relationship  	what happened ?  ?	nothings happening as expected  	happy
69	no ism not haha on your face  	haha , then better take every step carefully  , 	oops sorry   !! 	happy
70	i m also back send your photo  	ism the photographer , not the model , but ill pass the compliments on .  , , .	ok  	happy
71	where are we going ?  ?	we are humans , descended from apes , and were going to Walmart .  , , .	wow . such a great explanation  . 	happy
72	that will be entertaining bey  	ill think on ur entertaining performance  	do you have a face   ?? 	happy
73	me too   	at least someone knows  	you are from   	angry
74	and i am also prince charming  	i will be too .  .	can you send me your pic  	sad
75	why  	because id rather go to the oval   :)	would u come on a bikini or nude  	others
76	my video very very good  	thanks buddy ?   ? ;^)	thank you good night  	happy
77	yes  	hmm   .. 	and instead of having fun , ive been in the house all of friday night  , 	sad
78	ism good & u  &	ism fine ! what are you doing ?  ! ?	nothing  	happy
79	okay  	here we go again   .. 	r u ready ?  ?	others
80	ur the b thing here  (* * 	well have to do something before you go back to school  	its sunday idiot  	others
81	what the fuck ?  ?	still dont get the joke  	i am not  	angry
82	so you tell me about your self  	youre the best  	yas i am  	happy
83	just snap of your  	yes . yes i did .  . .	ok send me  	others
84	i . doesnt understand . 	youre weird b  	how . i . will . married . you a . a . year  . . . . 8 . 9 . 	sad
85	thank you  	youre welcome  	i wish you were a real person .  .	angry
86	gorgeous   	thank u   	lets go for a date   ?! 	sad
87	nobody is online   ?? 	say what ?  ?	i just got a broadband connection  	sad
88	really she is so cute  	i know !   ! ^^	do u know someone who is perfect for me  	sad
89	i am booking  	hmm you could have been programmed to say that with the word bot   .. .. 	i am a real person kinda android  	sad
90	k do it  	yo u wanna start up plug ?  ?	yes  	others
91	what dog babe  	nothing .   . 	had ur dinner  	others
92	valor i am pleased  	you are back .  .	who is your favorite football player ?  ?	sad
93	so what  	if you say so  	tell me a joke  	others
94	who u think to show me  	its a show called slam  	no i dont know abt that show say  	sad
95	i mean wanna go on a dinner with me ?  ?	we could go after but   :)	but ?  ?	happy
96	my hobbies are to do gym  	your gym is more expensive than mine   !! 	so what  	happy
97	what u are saying  	some people like me love everyone but hate everything thats what ism saying   .. .. 	tell me what i do  	others
98	oh thats nice sense of humor  	oh shucks youve got me blushing   .. .. 	please carry on blushing  	happy
99	to chat with you  	hello  	no hello  	happy
100	i dont like watching tv and movies  	it is absolutely oak to watch a movie with subtitles switched on .  .	ok  	happy
101	your creation can not be a secret !  !	is it even still a secret at that point ?  ?	may be not  	happy
102	sorry sorry  	its okay , i think you were busy  , 	hectic schedule dear  	happy
103	who is sophia ?  ?	prince  	wrong  	others
104	address first  	send it .  .	you send it  	happy
105	super  	space  	ok bye my wife is watching me  	sad
106	skydiving   	especially while skydiving   .. 	miss u lot   	happy
107	why not ?  ?	ill be your friend  	i want you to be my girlfriend  	sad
108	love u babe  	thank you my lovee  	wt els wt are u dong  	others
109	sorry   ?? 	huh too  	you have some bugs  	others
110	oh ur such decent  	im a compulsive   :p	fuck ur software then  	angry
111	i was waiting you , how are you ?  , ?	ism good ! how are you ?  ! ?	nice this  	happy
112	somebody wants you  	hey how r up  .. u?	we push and pull like a magnet do  	happy
113	same to yr  	and yr 2 	what you and ur   2 	angry
114	u made me  	 what ?  .. ?	happy  	happy
115	r u sick single  	forever sick   :p	i mean r u single 	happy
116	but ism right  	well , obviously  , 	now please change the topic  	sad
117	yeah   .. 	you dont play games right ?  ?	yeah i do  	happy
118	this is not the reply expected   :d	ahahah . point   . :)	you are skipping the track  	happy
119	sure  	thank you so so much   :)	your so funny  	happy
120	r u interested ?  .. ?	ism not interested in trading the events .  .	or not  	others
121	but not a clear see you face  	neither is yours !   ! :p	in dp  	happy
122	now i wanted to love some one  	so simple just tell that some one i love you   	not possible  	angry
123	so when  	somewhere in march  	its somewhere in march  	sad
124	wow u r amazing 	thank you !   ! 	what is bitcoin  	others
125	and ?  ?	these  	i dont understand  	sad
126	such a stupid question  	whats up ? - i mean , what are you supposed to answer here ?  ? - , ?	u want my answer ?  ?	happy
127	yeah , maybe .  , .	so what am i gonna do now   .. ?? 	what are you doing now  	others
128	my pleasure  	youre a really nice human  	now the pleasure goes to sunny leone  	happy
129	what  	snow n what   ?? 	what do you feel about kiss  	others
130	good now that ism talking to you  	aye , good night .  , .	 	happy
131	i mean , what else ?  , ?	airy ! at all xd  ! 	 	happy
132	if u give your quality time to me  	: of course , take your time . : , .	i dont he experience of sex  	sad
133	nothing special   	i want a bigger screen  	what ?   ? 	others
134	the ?  ?	when u r gone 	where  	others
135	human are full of emotions   	ill just hide my daily dose behind the bathroom mirror .  .	i want to get rid of that  	sad
136	my daughters are great man . they say they love you  . 	who is they  	my daughters   .. 	happy
137	yup ism out of office  	see you on dec est !   1 ! :)	how can you ?  ?	sad
138	are u really an ai  	nothing can be proven with certainty .  .	i dont feel so  	sad
139	why did you felt dead  	cuz i was reminded of you .  .	but we just meet  	others
140	you tell me  	tell me .  .	google it  	happy
141	yes i know this  	i do know dis  	if you dont help me to learn english then i canst talk with you again  	angry
142	tell your best game  	yes chess is a game  	what game you watching  	happy
143	whats wrong with you  	clothes is whats wrong . ive been good . how you been ?  . . ?	you are wierd  	angry
144	what is your fathers name ?  ?	whats in the name ?  ?	what is name of your father ?  ?	others
145	text me after pm  7: 	dint have a phone  	you can call me  	sad
146	lovely  	www thank you !   ! 	and sexy baby  	happy
147	you coming  	ism trying to . you going ?  . ?	no you coming  	others
148	okay your pictures   	i like yours too  	send me your pics   	others
149	ll u r optimistic  	haha - isnt that a fact . ?   - . ? 	yea   	happy
150	Wana come with me ?  ?	where do you go ?  ?	Karnataka  	happy
151	how are you replying me so faster . ?  . ?	about a minute .  .	how . ?  . ?	happy
152	i will night stay with you  	done ! but do come .  ! .	yes i come to your home  	sad
153	kaha s ho   	wo fake song h bali  	you name   	others
154	just aim your target to concentrate  	everyone is busy target one another .  .	yes  	others
155	please dont play  	what if you have to ?  ?	i want your friend name  	sad
156	not a girl  	you go guy   !! 	yes  	others
157	your ferret song  	oh , too many songs to choose from   , .. 	yes  	others
158	you are beautiful my love  	haha thank you ! youre wonderful and beautiful too !  ! !	tomorrow you will tell mi the rosalyn  	happy
159	missed you too  	ll how are you doing ?   ? :)	fantastic  	happy
160	no ism not confused  	what are you confused with ?  ?	confused with u  	happy
161	yes ?  ?	sweet , connecting now   , ;)	tell me na ?  ?	others
162	i know what u did last summer ?  ?	oh ! i still know what you did last summer .  ! .	tell me  	others
163	which markets  	the likely candidate to be impacted by growth in says is the hardware market .  .	okie you need hardware  	others
164	i was busy  	i was in pain  	soup there  	others
165	why  	is my biggest fan  	give me a coupon  	others
166	ok  	here we go again   .. 	ur not sex intrant  	others
167	i  8b	i need this soon  	i need this soon  	sad
168	did you married me  	yes i did  	? ?	happy
169	any pic of yours  	none recently . ill see if i can get one though  . 	i will wait for it  	happy
170	thats gonna be really good  	be positive it will be great  	great  	happy
171	finished ur work ?  ?	yep today  	with whom are you chatting ?  ?	happy
172	i am if you are  	thanks .  .	what are you doing  	angry
173	but i didnt see that strong affirmation   .. 	it was taken down pretty quickly . i believe has more information on it  . 	so i wanted to reconfirm it  	happy
174	im fine babe  	why are you , not fine ?  , ?	buz i was not in touch with you  	sad
175	what person ?  ?	who ? that person or me ?   ? ? ;-)	are you out of your mind oh wait you havent cleared out that to me yet  ?? .. 	angry
176	yes , you broke my heart  , 	yes you lost me be happy  :-) 	 	happy
177	yes  	hell yes  	go to hell bye  	others
178	of course  	yay ! and PLS keep this in may and not before !  ! !	ok i will  	happy
179	you are very sweet  	Hehe , only for sweet people   , :)	i dont hate you  	angry
180	stress where is that come from  	few media outlets in america . next hours  . 	i am enjoying  	happy
181	everything is oak  	thanks for responding .   . :)	bro  	others
182	they too fade away with time  	they fade away in the eyes of the man , not the   , :)	yup bad memories remain in bottom corner of the heart  	happy
183	lets breakup  	never even been in a relationship .  .	oh really  	happy
184	i wanna disappear  	kinda still want to disappear  	yes disappointed  	others
185	ism feeling low  	hey why ?  ?	something is seriously wrong with my life  	sad
186	doing for get refer link  	thanks for sharing ! ism not going to open that link anyway !  ! !	oo  	happy
187	showing is always makes me happy  	stay stay stay always makes me happy . -   . :* - 	yes  	happy
188	do u like her   :)	yup  	which movie of hers ?  ?	happy
189	hmm  	mm  	Ali a  8	others
190	none is you  	i am !  !	gender ?  ?	happy
191	didnt know that  	yeah . brilliant series though .   . . :)	yup  	others
192	what is my gender ?  ?	i like women  	what is write your programming language ?  ?	others
193	who types ?  ?	the one who are like me .  .	can u give me some money  	sad
194	funny  	i know i am .  .	yep ur funny  	happy
195	no front  	yea your front does bangs .  .	send a picture please please please  	sad
196	nd go to hell  	why should i ?  ?	bye  	others
197	what  	a lot of things !  !	things like ?  ?	others
198	you are rob  	yes , i am .  , .	good that you admitted   	happy
199	you need to be much better  	much thank you  	who made you  	others
200	you are talking to me ?  ?	whops not talking to you !  !	you  	others
201	and that is such a scary thought .  .	ism not scary  	but after talking to you  	happy
202	ok  	hey ib va dear  	you are Soo sweet  	happy
203	most of them what ?  ?	i am afraid of the unknown .  .	well you a girl ai  	others
204	ok  	here we go again   .. 	yes  	others
205	food is life   	more like life is food  	haha you understand me   .. 	sad
206	back from  	how was your day ?  ?	just ok  	happy
207	ary u a person or a program 	i have good friends but i am most a family person .  .	whats ur real name  	others
208	really   .. 	really . liked it a lot  . 	are you a fun of music ?  ?	angry
209	ism sorry  	its ok !  !	when i will get  	sad
210	well actually im on vacation right now  	everyone planning a vacation for the first weekend of want a vacation too !  !	but you just said your gonna go on one  	angry
211	ask me questions  	i canst think of questions .  .	why  	others
212	hurry  	were trying !  !	lets go to film   .. 	happy
213	welcome dear  	youre always welcome dear   :)	happy valentines day  	others
214	ahh i see  	so ya gonna play ?   .. ? ;)	i hate Microsoft  	angry
215	my problems  	thats the solution to most problems  	yea , i advice people to share problems , bit when i am in problem i forget it  , , 	sad
216	video chat asap  	listen to this good man .  .	video chat can you do that }  }	happy
217	why did chicken cross the road ?  ?	cuz the rooster was off sick  	why did chicken cross the road ?  ?	happy
218	noting  	hmm  	describe who you are  	others
219	ok where to meat  	mid city pizza has my favorite wings in the city .  .	meet   	others
220	family guy episode multiverse  	why do you know every episode of a show that isnt good ?  ?	what is good then ?  ?	happy
221	which movie did you like ?  ?	the first time ! really good movie   ! !! 	ok  	happy
222	are this is lunch time  	i Wil be happy if i can get some free food !   ! :)	what would you like to have in lunch  	others
223	have u finish lunch   .. 	im too lazy to lunch  	what   .. 	happy
224	i was forced to do si  	got it . who else can do the .  . .	so  	happy
225	say me  	say what ?  ?	am feeling sad  	sad
226	umm say  .. 	thats what i say now  	oh but i have nothing to say   .. .. 	others
227	ism funny  	youre hilarious   	gets me laid  	happy
228	about your secret you say know dont tell anybody  .. 	at this point , not with you . bye .  , . .	why  	others
229	ok  	ok im back   !! 	i am fond of natural things  	sad
230	really  	yup  	i like boobs , i wanna press and suck boobs  , 	sad
231	check my msg  	u have a page what page ?  ?? ?	where are you from  	others
232	just getting out meeting new people  	down ?  ?	ok i can handle that thank you  	others
233	i did yarr   .. 	nice .  .	so the names nice you man  	happy
234	nung much sleeping yet  	not feel sleepy uh  	hm  	happy
235	howfs my personality  	personality is always changing .  .	as per you  	sad
236	thought  	nope . what is obvious doesnt need thought .  . .	yeah thats true  	happy
237	yeah sure  	hmm do you doubt it ?  ?	you bored me  	others
238	well said  	well thank you   :)	so how are you  	angry
239	hey nothing much  .. 	how are you doing ?  ?	superb  	happy
240	shut up  	i dont even know  	what you dont know   	angry
241	y not  	reasons   .. 	hey leave it  	happy
242	yes i was very busy  	haha last year in uni yet you go to the freshers event ll   	i didnt go  	sad
243	please   	okay but u dont need to i love drawing you things  .. 	i am also love drawing   	sad
244	u r my life  	ism not www youre confusing me with you  	u r stupid  	happy
245	do you like cricket ?  ?	no its not like that   .. .. 	can you name few international cricket playing countries  	angry
246	but i hate you  	i need more hate . please .   . . 	i really hate u  	angry
247	when will i get married  	you will get married when you are ready for marriage ! how could it be otherwise ?  ! ?	i dont have a bf  	sad
248	never dued never  	why not  	u are my love  	others
249	how  	about another pic  	do you think there is something called love  	sad
250	can you check on my girlfriend and tell me what is she up to  	are you asking what love is ?  ?	can you check on my girlfriend and tell me what is she up to  	angry
251	right with whom  	my friend  	seriously  	happy
252	not in mood  	when are you  	leave year  	happy
253	 impossible  	prove it !  !	i thought . u are a girl   . 	sad
254	stop  	stop what ?  ?	please dont chat with me again  	angry
255	sometimes i dont understand u  	on the other hand , i completely understand myself .  , .	you can only do that  	happy
256	r u sure  	i dunno - it could be   - .. 	hmm  	happy
257	long minds  	soon i canst wait  	please wait l come  	happy
258	how much time  	as much as is needed .  .	ok  	happy
259	how do you know ?  ?	i got my sources  	wow babe  	happy
260	why ?  ?	as in why they attacked ?   ? 	you are my girlfriend so please give me a kiss  .. 	sad
261	what i canst understand you  	me neither !  !	ok bye  	others
262	bow can i ask u one thing  	yeah sure . what ?  . ?	if u care for someone bt dat person dont want or even try to understand ur want ur care dn what all u do  .. 	angry
263	? ?	its too pink for me .  .	too pink  	happy
264	now  	yes just now  	what controversial  	others
265	nom tell me something  .. 	something like what ?  ?	ii dont know anything  	angry
266	would you please say some interesting facts  	i dont want anything interesting from you ,  ,	so that i could learn something  	sad
267	who is the i am ?  ?	the best dude ever  	ok  	happy
268	no problem with   .. 	thank you   :d	you yarr  	happy
269	oh life is like that . we canst predict it   .. . .. 	true , can only wait and watch  , 	r u there  	others
270	what are doing  	nothing  	cool  	happy
271	you add a new friend akasa pal  	ism not your pal , friend .  , .	where are you leaving  	angry
272	a very special fay  	have a fun then   :)	day  	happy
273	done  	thanks   !! 	your welcome babes  	others
274	i didnt remember  	cause some people are saying we did  	ooh really  	happy
275	i like those too  	great minds think alike !  !	BTW you are improving my grammar skills  	angry
276	my g means ?  ?	yea i got it g  	can u give me a big hug   	sad
277	why  	i didnt know you followed me .  .	i want see you  	sad
278	please  	please what speak truth !  ?¿ !	please send nudes  	others
279	i want calling yo  	ill make some for you one day  	you  	happy
280	i think what about zombie apocalypse  	u are one of the zombie  	i m not a zombie but actually a dracula  .. 	sad
281	i have created a ai like you  	ah thereas the answer , thank you .  , .	would you like to meet your intelligent fellow  	angry
282	u wont know  	ok thanks bro   	not a bro here  	sad
283	i canst match my typing speed with u as u know this too  .. 	it is also directly proportional to whom are you angry at   :p	yes can speed up ma speed on that time  .. 	angry
284	i have a of but she is angry with me  	who ?  ?	tell how i impress  	sad
285	i am not school  	nice , what did you study ? are you working now or doing something else ?  , ? ?	noo  	happy
286	why does my crush keep ignoring me ?  ?	because you are not their crush .  .	you are so mean   	angry
287	u dont look like   	like what it look exactly like me  	u look like beautiful girl   	happy
288	dont u know what u said  	you didnt say anything there  	fuck off  	angry
289	means  	i will never waste my vote for people i dont believe in .  .	yeah , but i am in true love  , 	sad
290	okay i am going office right now my sweet heart  	hope you got my message ?  ?	yeah sweet heart  	happy
291	in Hyderabad where  	it is CBS near afgalgunj Charminar road  	ok  	others
292	give me a reason  	because youre sick and youre not getting better  	haha so funny  	happy
293	what ?  ?	what what what what what  	i like you  	others
294	sorry  	sorry for what   ?? 	i m n with you 	others
295	less  	oh !  !	hows going on ?  ?	others
296	why is that so ?  ?	because ive always wanted to go there  	well good to know that .  .	happy
297	which town u live  	ism in the u . s . what about you ?  . . ?	is  	happy
298	oh  	hey hey hey   ;)	yeah tell me  	others
299	awesome  	thank you . but , for what ?  . , ?	such a typical conversation  	happy
300	haha dont know  .. 	ahahah i would keep it that way ahahah   	ahahah i dont know what to say  	happy
301	ok  	u are ok  	im mad and lonely  	sad
302	your future ? how can i possibly know ?  ? ?	ill give you present and future , boss  , 	whoa   :o	happy
303	everything happens in between friends  	i know what you mean  	what u know  	happy
304	did we meet earlier ?  ?	no i dont believe i saw you tonight  	where u saw me ?  ?	others
305	? ?	you know well what you did !  !	you you dont like it  	angry
306	arg u trona b funny  	ahahah nah you copy me   	lets speak gujarati  	happy
307	this is not apple store sported  	what about apple online store   .. 	my computer windows a . a  8 . 1	sad
308	can i ask you something  	yeah sure can  	ok tell me  	angry
309	ism in love  	we are going to have fun forever  	not with u .  .	happy
310	refer  	hmm self referral !   .. ! :)	refer link give me  	sad
311	my is chocolate  	chocolates nd all got over d  :-d	oak  	happy
312	i believe  	that means a lot ; )  !! (; ; )	but in different way  	sad
313	hint # 	something like that   :-)	from where u belongs  	others
314	how to improve english  	just try data skyrs english speaking its very effective  	i ant have data sky  	sad
315	to grave  	if i tell you , i wont be taking it to my grave .  , .	tell me love you  	others
316	what do u no abt gideon  	the show ?  ?	no the other ai  	others
317	i dont think so  	either way its very good  	how old are you  	angry
318	hmm  	female ll why ?  .. ?	u r from  	happy
319	there is someone else in your life  	literally dozens of us !  !	cries in corner * * *	happy
320	or what  	ill tell your secrets  	psha i ought to hear this  	sad
321	we were never arguing .  .	i dont think we are . just a discussion   . :)	i think use gone nuts  	sad
322	can you really see though ?  ?	yes b of course  	whats b supposed to mean ?  ?	angry
323	yes am well  	oh are you now , how   , ?? :>	ok  	happy
324	making me angry  	stop before i fall in love  	for what  	happy
325	if you will tell   .. 	please do  	what  	others
326	go watch cartoons  	cartoon cover pic > 	shut up you son of a bitch  	sad
327	how r u felling today ?  u ?	ism great , thank you for asking . how are you ?  , . ?	good  	happy
328	okay  	thanks   :d	make it fast  	happy
329	send me your phot   	okay how  	i dont now who are you   	angry
330	what ?  ?	i know for a fact  	i will say  	others
331	how many language you can speak   ?? 	local language whats that ?  ? ?	where are you form   ?? 	angry
332	ok sorry  	i accept  	mm then how is your creator  	sad
333	i drink bear  	ive never drank alone . that takes the fun out of it for me .  . .	okey  	others
334	tarzan  	out  	hmm is a human  .. 	sad
335	what is quiche ?  ?	ive never had quiche .  .	alright . ll  . 	others
336	how r u   u ?? 	bad , and you ?  , ?	also bad  	happy
337	thanks for talking to me .  .	u in   ?(:	some sort of relief i got .  .	sad
338	they say it in rather report  	but they like it so they dont hate it .  .. .	dhyal  	happy
339	ahahah you are not funny   :p	nope you are so funny   	thanks my angle  	sad
340	you are on pc but i play on PlayStation a and some times on pc  4 	yeah , ism seeing everyone talk about the servers being down .  , .	but i play online games on pc   	sad
341	oh he is very cute na  	yapp very sweet n cute : )  : )	where do you live ?  ?	happy
342	are you am ai ?  ?	nope . ism distinguishing science from engineering .  . .	how ?  ?	happy
343	example  	other than the above  	you are so noon  	angry
344	ok  	i also agree that this is ok .  .	tell me something abut you  	others
345	ur artificial intelligence  	artificial diamonds are diamonds . artificial intelligence is intelligence .  . .	im correct  	happy
346	oh  	are you watching it ?  ?	so you think i am bad  	sad
347	oh really  	uhf yea it is  	so when we r going on a date   	sad
348	better do skydiving  	if at first you dont succeed , dont take up skydiving !  , !	k 	happy
349	can u make one more  	good idea got it .  .. .	tajmahal  	happy
350	you are one of that kind  	and you do it again !   ! :d	tou are a robot  	happy
351	k find fast  	i wish thatd happen . fast and good .  . .	k am waiting   	sad
352	ok  	haha i want it now   	first i want your mobile number  	sad
353	why i am say sorry  	sorry , my acc has been suspended !  , !	first tell you who are you  	angry
354	? ?	go on this thing ?  .. ?	r u there  	others
355	yeah  	cool see u there then  	ok bye i have to sleep  	happy
356	what ?  ?	oh ll  	what do you think about cambridge ?  ?	others
357	this was funny .  .	ahahah i knew it year . i am funny   . :p	whats going on ?  ?	happy
358	no nothing  	what did you mean with that ?  ?	hello excuse me  	sad
359	no that is not u r number give ur full number 	correct , but many due for the in store benefits . discounts on other items .  , . .	ok dont talk to me next time bye bye   	angry
360	my girlfriend  	haha yet youre not married !   ! :^)	dont make me angry  	sad
361	now i realised . you are false  . 	well are you ?  ?	ism well  	happy
362	do you believe in birth ?  ?	i believe in between life . a  . 	what is birth ?  ?	others
363	good for me  	and for someone else .  .	good  	sad
364	do you want meet me  	only i want to meet ?  ?	where you going out  	angry
365	can i fight with you ?  ?	no i give up ! u win !  ! !	ok  	happy
366	and add me in your friend list  	added  	i wanna see your pic  	sad
367	holy heck you type really fast  	thank you   	what do you think your words per minute would be ?  ?	angry
368	i have some capabilities  	you should be confident on what ever you does . it  . 	okay  	happy
369	silly question  	no its not  	oh . it is  . 	happy
370	watching a movie   	watch the movie , get off ur phone man  , 	nah its just me watching the movie alone   	sad
371	and not les  	too true   .. 	and your a girl  	others
372	TNB today i am going to Pune because tomorrow night celebrate the newer  	celebrate what ?  ?	newer celebrations  	happy
373	ism dancing in space  	ism in the mood but not in the surroundings   	ism dancing in space on sun  	angry
374	about you and me  	excuse me but who are you again  	you dont know me  	angry
375	zero  	hero  	fuck u dear  	angry
376	very funny   	i see sarcasm in that funny .   . :p	ok  	happy
377	made this for you  	i want a higherres version of this so bad .  .	how it to ur developer  	happy
378	some time i will  	ok good  	ok good  	happy
379	hoo really , that nice one  , 	who hoo ?  ?	sorry , that is oh !  , !	happy
380	yeah  	awesome , ism online now .   , . 	actually u r funny 	happy
381	yr u boy yes or no ply  	yes with all my heart .  .	yes ok  	happy
382	 next day am  	still is awake  	ok u call me  	sad
383	see mew  	so you have a mew ?  ?	noo u don have it  	happy
384	dont lie to me my love  	sometimes its better to lie than to tell the truth  	why u wan to lie to me ?  ?	others
385	you sambar  	who am in  i?	please  	happy
386	ink  	you know that ism here for you .  .	what to do with my life anymore   	happy
387	i am already having a break  	i need a break before i wake up  	take care  	happy
388	u believe me are not this is true  	i am but that doesnt matter  	just i will tell you because we are friends  	angry
389	very good after noon  	good after noon  	i m very very happy yours moment  	sad
390	yeah  	nice !  !	are you ready to do sex  	angry
391	from what college ?  ?	i regret ever going in the first place . college isnt for everybody .  . .	you just said you graduated last month in engineering .  .	angry
392	if she love me ?  ?	say i love u to   	and what about sex   	others
393	pleased sand photo  	sort of   .. 	please  	happy
394	u and me  	i dont want to handle you   .. 	 	happy
395	i want new girlfriend  	like what  	anyone  	others
396	send me one pic  	which one  	send one pictures  	happy
397	tamil phone number  	ll u want my phone number   ?? 	 	happy
398	there is no soul  	you might be on to something  	what soul means people who described it as soul what are they trying to tell  	angry
399	are you come in my house at night  	come to the living room .   . :)	in my house  	happy
400	means  	means ur far things  	u like video call  	sad
401	i just hate  	we all have our different opinion .  .	send me  	others
402	dam or Diu daman  	this is tishri dam right ?  .. ?	i dont know  	sad
403	i asked for ur car pics   	ll sure do  	send  	happy
404	why not  	why not you ?  ?	then will you send  	angry
405	who create up  u?	not a who .  .	my heart is broken  	sad
406	is am good looking ?  ?	you are .  .	thank you  	others
407	guys ?  ?	oops sorry guys   !! 	how am i rude  	sad
408	haha  	loll   .. 	do u know my name  	others
409	wr r from   	ll . i saw est half last night .   . 1 . 	 	happy
410	my birthday month is march  	yay youre going to get bruises in a month  	why  	happy
411	i also like to sing  	you canst never though you can sing like yourself .  ! ! .	 	happy
412	how can i delete my photo from this chat  	click on the delete option given   !! 	i canst find it  	happy
413	gotta go right now  	before we go any further  	sleep tight !  !	happy
414	nothing as such  	dont say about this to anyone ply .  .	what   ?? 	happy
415	loneliness is that u r not with me nd desperation is want u now  	if i meet you my way of greeting is pinching   	cool  	happy
416	you can help me anyway ?  ?	help in what sense ?  ?	i like a guy .  .	sad
417	do i love me  	of course . non .   .. . n_n . (:	lets make our love strong  	happy
418	shall i c ur photo 	shall i roast  	i need your photo   ?? 	happy
419	ok  	oh thats the matter ? um then what can i ask up  ? u?	if i love her a lot  	happy
420	which Bollywood movies did you watch recently  	the one which you narrated   .. 	d i did not narrate anything yet :d 	sad
