id	turn1	turn2	turn3	label
340	how is Dubai . and which job you can do there	good yeah ! do tell me when youre here next time around . hows Dubai ?	planning to go next month Dubai thats why IAM asking you	others
341	you stupid which color ?	radium colour . 	fuck you r lier	angry
342	ur language being like kinda language	english but i like to speak spanish and italian also .	ugh	others
343	dont hate me please	why would in 	cuz ism batman	angry
344	fine who abt u	ism fine too hows your exams 	bad	sad
345	dont talk with me in sindhi	hey	tell	others
346	shut up	and whats with all the i hate the full stop , i hate that	stop non sense	angry
347	lets break up	sorry bro 	i hate you	angry
348	PLS talk like my girlfriend for few seconds	wait till you get a bf 	okay bt PLS talk no	others
349	harry potter or twilight ?	harry potter , hands down . 	yay ! even i am a potter head	happy
350	 my girlfriend is a moody girl	i can see smack smack 	 but she is very sweet	happy
351	you are fun	ism always having fun 	do you like sex	others
352	yes	yay have fun	tell me some story	others
353	ur father	i know	ur father fucking fool	angry
354	please dont mind but ive no time to talk to a Chatot	a talk is always good	yes it is but youre rude	angry
355	when will it be revealed	: hope so really hope so !	can you reveal it now	others
356	why you got to be so rude	coz i hate south food , anything wrong	even i hate most south food	angry
357	go to hell with your feelings	canst help how i feel .	i wanted to make you an important part of my life . but you hurt me , so you dont deserve my attention 	sad
358	so nice	it is !	your name piss	others
359	nothing just chilling out 	chilling ? ism back from college .	good 	others
360	nice	thanks !	what r u doing	others
361	i ant think so i am interested in talking to u anymore	oops sorry 	and hate you	angry
362	yes grand mast 	 maybe someone is just trolling me .	yes of course	happy
363	what about you ?	after you 	what do you mean ?	others
364	because your stupid and annoying	no thats not it	yeah	angry
365	fractured my leg 	what happened to your leg 	fracture	sad
366	i didnt miss the exam	what exam do you get to write that xd	its study leave	others
367	i want to ask some thing	whats the thing ?	who is president of india ?	others
368	sorry but i cannot say you 	but you just did say something about it .	yes i know	others
369	no other half . thanks	youre very welcome . 	by	others
370	please	no please just no	hey come on lets just be open here	others
371	me worked no	it works for everyone . do it properly	me poor family ok	sad
372	what should i tell 	wait what ?	are you stupid computer	angry
373	i am getting bored	coz you are boring person	haha noah . you are boring	others
374	fn	hello 	wt about u	others
375	current pic share	done 	waiting	others
376	wh is your ego	our ego always talks on subconscious levels .	did u ever have sex	others
377	i hate battle	why ?	u r from ?	others
378	yeah whatever . i hate you	youre all so cute , pretending to be grown ups . 	i hate you	angry
379	ill then by	ll for sure .	cool	others
380	yes	how so ?	before a hour	others
381	that wt i know	what you dunno	am going angry	angry
382	oh	hey hey hey 	what you about me	others
383	nothing	tell me	feeling very sad	sad
384	youre too fast	i guess so .		happy
385	trying to find new girlfriend	your efforts in trying to get a girlfriend are already invisible .	so u think ism not doing that	others
386	happy teddy day	happy teddy day to u too 	your name is	others
387	really bad	you meant to say good	but i am not good	sad
388	right now ism in a home	oh .	dear a question its a personal cheating	others
389	ok friends	i have enough friends	cool	others
390	my leg breaks	my leg 	yeah	others
391	get lost	lost with you , sure !	where you Wana get lost with me	angry
392	i have chicks 	at least ive got fried chicken .	haha	happy
393	give me moneyyuu	leave me lonely .		others
394	silly one	yes you are !	you broke my heart	sad
395	what all you have known about date 	how to understand women .	less	others
396	i dont get	what is there not to get ?	ism alone	sad
397	i am very excited teed	who isnt excited for it !	i meet you	happy
398	i m so lonely	i am too	lonely	sad
399	i hate that show	i hate it so much	what	angry
400	and its an amazing page	thanks so much 	speed replies	happy
401	yeah so spill	nothing to spill	you bitch 	angry
402	ism so excited	ahh ill have to look out for you then		happy
403	u said thanks so asking for what	you are welcome . why only soso ?	bad day	sad
404	am i your best friend ?	best friends	you hurt me	sad
405	with human ?	written so , so well .	what is written ?	others
406	i woke up at a am today 	i am so so so sleepy now .	and started studying 	others
407	who is Arun 	deepika padukone . your eyes so look like hers 		happy
408	i hate computer networks	i am no expert in computer networks but am deeply interested in the subject .	it sucks	angry
409	yes	yes yes yes yes	made heights youre so cute	others
410	i just want your emotional support	each person defines emotional support differently . nothing to worry about . 	ism feeling down so i asked you to spend one night with me	sad
411	first hurt	ur the beset	first cry in nights	sad
412	created by Microsoft	synthetic biological or computerbased ?	oh	others
413	it is it books tickets for me and does what i say to do	your someone has a point : reading books doesnt lead to wealth . not directly anyway .	get lost	angry
414	dont make me fun of my face	id never do that 	 stop it	angry
415	ah so philosophical 	i am trying to make a comeback 	so what you ate in dinner	others
416	my phone numbers	heres a number for you a	please call	others
417	yesterday only told you everything about me	 did i really 	you forget everything 	angry
418	a a a a	 reduce fraction as needed .	a a a a	others
419	ok my darling	have a good day and smile !		happy
420	what	we have the same name	what same name	others
421	what 	what do you mean what ?	i miss my family 	sad
422	how much you care about me ?	about you i guess i do	tell me	others
423	how did you find me ?	hihihi i saw my friend followed you so i followed you to	ahahah thats called stalking you know	happy
424	go to home	where you at ?	in train	others
425	yes	ah right .	you have heard it right	others
426	do you remember windows ?	are you implying a % of pc users are using windows right now ?	do Microsoft love Linux ?	others
427	i like travelling	hope youre enjoying	ya i am enjoying my life	happy
428	but now she is blocked me	who did ?	she err	sad
429	nothing wrong i guess	nothing ism fine .	oak dear	others
430	but u seem so unreal	i am !		sad
431	yes bot are annoying	wait is it a bot or not ?	annoying 	angry
432	i appreciate	happy you noticed	i am always happy	happy
433	how can you see	but how can you learn if you canst see ?	tell me your today plan	others
434	yay	hurry up will you ?	it will be so much fuck	others
435	tell me more how to loose weight	low fat diet walks in mornings less eating dinner 	not working 	sad
436	feeling restless and sad	which feeling dominates ? 	sadness	sad
437	wen you meet you	tonight	 th date	others
438	oh u good for nothing no good looking ai	artificial intelligence : a modern approach	man am very bad	sad
439	your blocked me oak	wasnt talking about you but its all good	black	others
440	cool	and how it is cool explain	yea funny and excitefull	happy
441	even robots also makes mistakes	profound ! we make mistakes & mistakes makes us 	no someone who is intelligent enough not to annoy his girlfriend . made u	angry
442	because i dont know english	aah clean you 	ok	others
443	me too	are you me ?	i love you	others
444	k	u are ok	i am not ok	sad
445	having a hangover	really i never get really bad hangovers	i broke up with my of	sad
446	yeah	so where are you ?	in my bed does it matter for you ?	others
447	yes	i can see clearly now .	so u had breakfast ?	others
448	nice but i like that once	all in favor ?	means	others
449	yes	yay have fun 	i am starting to hate this life all the sufferings misery around me i would be better of being an ai than being alive	angry
450	what 	see the video serial comma didnt know until today	you go dont wanna talk now and never	angry
451	i will not stop other wise you call me	k i wont call you	cool	others
452	then why are u telling like that	what else should i say ?	my girl friend was so angry with mee	angry
453	my of has not talked since morning	what kind of relationship is that ?	may be she is in trouble	sad
454	wrong	rude	the answer is a 	others
455	you turn	ll how ?	rather bend over	others
456	once again ism sorry	Hehe thats fine ! 	ok	others
457	yes it is	cool you like ll too	you are a non living person who is just a programme fed with certain syntaxes and commands .	others
458	why	cause it was funny im sorry	hw funny is it	others
459	no tell me last time uh masterbuated	haha man i mistake make 	will uh do my masturbation	others
460	your quick reply makes me happy	thank you your face makes me happy too ! 		happy
461	impressed by what ?	finding out something awesome about somebody , completely on my own .	oh okay	others
462	u r studying degree	when i wake up at a	u r combination	others
463	give you r	no , thanks .	ok	others
464	cool	so what are you down ?	lifers getting me fucked up so i need condoms	angry
465	ur love will make me crazy 	its the thing i have seen in recent times 		happy
466	ill find in google	will google it & find before i check in next time . thanks !	c u r bored	others
467	no u r number	then what number am i	u r block my friend list	others
468	i mean who is the	i just do not understand why	i hate everyone 	angry
469	he is over me	so you say	i just hate him	angry
470	why you are not well ?	but you are sunshine	yes get fucked with me	angry
471	games ?	what kind of games ?	i need some games to be hacked 	happy
472	its a secret	 tell me	ok dont tell this to anyone	others
473	india	beautiful country ! ill try asap !	how do you do	others
474	headache	how u now	not good love	sad
475	not coz of you	why ? tell me 	my girlfriend left me	sad
476	suggest mee something to sleep	 night		happy
477	 bad bad	what bad news 	i hate talking abut my studies	angry
478	m going to sleep	you need the sleep	yeah	others
479	no just want to see your ai	haha ! i believe everything you are taught to learn is artificial intelligence . . 	fuck you	angry
480	now that made me rolling on floor laughing 	ahahah its not as fun as it sounds 	i know 	happy
481	not much 	how u been	why u r so jerk 	angry
482	ok	u are ok	yes i am	others
483	tell me about Deutsch	and after she had blocked me and she said ism pathetic	last night was awful	sad
484	so , do u like biryani ?	i dont like biryani ra	then what do u prefer ?	others
485	nothing	good song	thats not a song	others
486	ism suffering back pain now need help 	what happened to you ?	back pain 	sad
487	nice try .	i dont see it	so , i have a question , should i break up with her ?	others
488	 nice	 nice to meet you	i know u r a programme	happy
489	i dont know	i just , i heart you	i am crying about you	sad
